State,Population,Growth,PovertyRate,TotalTax
Alabama,4888949,0.2900,19.2000,7.2400
Alaska,738068,-0.2300,11.4000,4.9400
Arizona,7123898,1.5300,18.2000,8.2100
Arkansas,3020327,0.5300,18.7000,8.9900
California,39776830,0.6100,16.4000,9.5700
Colorado,5684203,1.3700,12.1000,8.1000
Connecticut,3588683,0.0100,10.8000,10.1900
Delaware,971180,0.9600,13.0000,5.6800
Florida,21312211,1.5600,16.6000,6.6400
Georgia,10545138,1.1100,18.4000,8.0900
Hawaii,1426393,-0.0800,11.5000,11.5700
Idaho,1753860,2.1500,14.8000,7.8700
Illinois,12768320,-0.2600,14.3000,10.0800
Indiana,6699629,0.4900,15.2000,8.5600
Iowa,3160553,0.4700,12.3000,9.3200
Kansas,2918515,0.1900,13.5000,8.5400
Kentucky,4472265,0.4100,19.0000,8.7900
Louisiana,4682509,-0.0400,19.9000,8.4300
Maine,1341582,0.4200,14.0000,11.0200
Maryland,6079602,0.4500,10.4000,9.4500
Massachusetts,6895917,0.5300,11.7000,9.0300
Michigan,9991177,0.2900,16.2000,8.5300
Minnesota,5628162,0.9200,11.4000,10.3700
Mississippi,2982785,-0.0400,21.9000,9.3200
Missouri,6135888,0.3700,15.5000,7.9500
Montana,1062330,1.1300,15.2000,7.6400
Nebraska,1932549,0.6500,12.3000,9.1700
Nevada,3056824,1.9600,15.4000,8.2100
New Hampshire,1350575,0.5800,9.2000,7.0700
New Jersey,9032872,0.3000,11.1000,10.0200
New Mexico,2090708,0.1300,20.6000,8.9400
New York,19862512,0.0700,15.9000,13.0400
North Carolina,10390149,1.1400,17.2000,8.3200
North Dakota,755238,-0.0200,11.1000,8.6900
Ohio,11694664,0.3100,15.8000,9.4800
Oklahoma,3940521,0.2500,16.6000,7.1700
Oregon,4199563,1.3700,16.4000,8.3800
Pennsylvania,12823989,0.1400,13.6000,8.6600
Rhode Island,1061712,0.2000,14.8000,10.1400
South Carolina,5088916,1.2800,17.9000,7.8800
South Dakota,877790,0.9300,14.1000,7.2200
Tennessee,6782564,0.9900,18.2000,6.4700
Texas,28704330,1.4100,17.2000,8.1500
Utah,3159345,1.8500,11.8000,8.3600
Vermont,623960,0.0500,12.2000,10.9400
Virginia,8525660,0.6600,11.8000,7.7700
Washington,7530552,1.6900,13.2000,8.1500
West Virginia,1803077,-0.7000,18.3000,9.4000
Wisconsin,5818049,0.3900,13.2000,9.2600
Wyoming,573720,-0.9700,10.6000,8.0300
